"mz","rt","t.score","p.value"
95.17471,713.52,-3.7547,8e-04
95.28593,713.58,-2.6701,0.0114
95.77766,42.48,0.6187,0.541
95.84595,660,-1.1935,0.2427
95.97356,762.9,-0.2339,0.8173
95.97359,765.54,-8e-04,0.9994
96.04454,55.02,-1.1054,0.2795
96.04454,782.94,-1.7248,0.0949
96.04456,176.22,-5.461,0
96.04642,63,-0.3633,0.7195
96.89639,46.44,-0.8214,0.4172
96.92191,40.74,-0.6233,0.538
96.93775,764.82,3.0772,0.0047
97.00413,697.32,-0.2081,0.8366
97.02856,43.86,0.6661,0.5121
97.02858,61.92,4.6779,2e-04
97.0286,47.16,2.3168,0.0294
97.02862,169.62,2.1154,0.0511
97.02863,205.32,3.4868,0.0031
97.04734,62.88,-1.2416,0.2253
97.10126,606.66,-0.7778,0.4438
97.10129,348.18,1.5224,0.1484
97.10132,586.56,2.8629,0.0103
97.10135,433.2,3.0544,0.0078
97.10136,378.36,1.2875,0.2152
97.52061,33.72,-0.0037,0.9971
97.96889,767.04,0.5278,0.6021
97.9689,697.02,0.1942,0.8477
97.96895,764.1,-0.0071,0.9944
98.05795,42.36,-1.5349,0.1348
98.06022,195.36,2.0721,0.0548
98.10475,599.28,0.3664,0.7175
98.32005,440.52,-4.5681,0
98.51211,765.66,0.9902,0.3306
98.51215,771.42,0.6027,0.5533
98.51223,760.98,0.3971,0.6938
98.91885,40.74,-0.5868,0.562
98.96148,697.02,1.0295,0.3124
98.96148,680.76,1.4163,0.1678
98.96149,767.94,2.6152,0.0127
98.96151,766.02,2.9119,0.006
98.96152,758.52,2.2164,0.0311
98.9842,450.12,1.345,0.1924
99.0442,212.16,2.4074,0.0292
99.04424,137.46,1.5692,0.1346
99.04433,44.82,0.9795,0.3402
99.1168,563.34,1.8166,0.0787
99.11687,550.38,-0.2212,0.8261
99.51235,771.12,0.7551,0.4571
99.53128,33.84,0.0047,0.9963
99.68896,691.44,1.0955,0.2864
99.81425,691.02,1.0368,0.3118
99.93525,765.66,0.214,0.8323
99.93528,757.56,0.8901,0.3839
100.02452,34.08,3.7248,8e-04
100.03947,122.34,-2.0027,0.0568
100.07524,490.56,-2.3878,0.0235
100.07581,166.68,-2.791,0.0076
100.11218,44.7,1.3524,0.1958
100.11222,192.78,1.3635,0.1927
100.11222,147.36,0.1788,0.8598
100.11224,204.66,-5.0946,0
100.51015,590.82,-0.1315,0.8967
100.51016,760.56,0.4399,0.6632
100.51122,675.42,0.5733,0.5739
100.75734,37.86,-1.6619,0.1062
100.9171,40.62,-0.3275,0.7456
100.93207,764.22,-0.2962,0.7693
100.95693,680.76,1.2212,0.2325
100.95694,33.24,0.2272,0.822
100.95696,767.1,1.8079,0.0807
100.95696,697.02,1.1475,0.2621
101.00854,34.14,2.0573,0.0476
101.02351,85.8,1.0363,0.3103
101.0599,150.54,-0.4287,0.67
101.09624,584.34,-1.2128,0.2309
101.09626,697.98,-1.189,0.2394
101.0963,768.24,-1.0838,0.2826
101.09631,765.66,-0.7623,0.4489
101.10753,36,-0.6324,0.5339
101.52314,119.94,0.2053,0.8394
101.5278,34.38,-0.414,0.6819
101.68557,691.08,-0.1752,0.8625
102.05511,205.74,-0.0414,0.9673
102.05516,43.08,-2.2722,0.0346
102.05516,268.38,-4.1551,1e-04
102.0552,64.26,0.0013,0.999
102.09167,219.18,0.1523,0.8805
102.12787,45.84,1.2597,0.2232
102.12791,62.82,1.5836,0.1314
102.12793,750.12,-1.7502,0.0856
102.68893,683.58,-3.4234,0.0024
102.68895,670.08,-9.1739,0
102.81443,670.44,-6.0076,0
102.81452,683.52,-1.4849,0.1514
102.97039,680.82,1.992,0.0605
102.97041,697.14,1.9036,0.0713
102.97041,592.5,1.3474,0.1905
102.97041,565.68,3.1783,0.0034
102.97041,754.86,0.4849,0.6324
102.97041,578.76,0.2196,0.8287
102.97042,626.46,0.4993,0.6207
102.97042,501,-1.6548,0.1112
102.97042,484.92,-2.4272,0.0238
102.97043,672.66,2.4997,0.0204
102.97043,610.5,1.6773,0.1055
102.97043,524.52,-0.5601,0.5792
102.97043,509.7,-1.5773,0.1252
102.97043,469.8,-1.7653,0.0935
102.97044,740.04,1.3107,0.2024
103.0061,34.14,1.8393,0.0747
103.03914,110.64,0.2794,0.7826
103.03919,43.68,1.4068,0.1775
103.0543,163.2,5.889,0
103.07551,337.8,-1.5818,0.1204
103.07553,323.1,-1.8979,0.0651
103.19282,731.1,-2.1464,0.044
103.31827,731.52,-2.4906,0.0207
103.52057,33,0.2058,0.8387
103.52057,68.46,-0.6438,0.5256
103.57357,504.12,-0.9239,0.3652
103.80133,474.48,-0.0456,0.9641
103.95573,771.78,-0.7872,0.4399
104.00178,319.32,-6.769,0
104.02573,516.84,0.0331,0.9739
104.05299,64.74,1.9488,0.068
104.10711,587.76,0.2915,0.7731
104.10712,558.72,-0.5137,0.6127
104.10713,573.42,-1.4666,0.1515
104.10717,655.14,-1.3836,0.1783
104.10725,41.82,0.8584,0.3993
104.68557,683.82,-0.446,0.6592
104.96351,680.82,0.8164,0.4214
104.96352,592.32,0.1473,0.8842
104.96352,565.68,0.3442,0.734
104.96352,766.2,2.3851,0.0211
104.96352,763.92,2.213,0.0312
104.96353,697.2,0.7802,0.4425
104.96354,610.62,0.3195,0.7523
104.99253,42.06,4.0817,6e-04
