"mz","rt","t.score","p.value"
189.16045,450,-3.288,0.0042
474.7598,447.6,-0.6309,0.534
336.83665,466.5,-1.2247,0.2347
190.1634,450,-3.7019,0.0014
516.7481,449.4,-1.0198,0.319
476.75625,442.2,-1.2647,0.2176
764.59675,447.3,-0.3741,0.7116
180.89475,450,-2.3757,0.0305
520.74405,454.8,-0.1674,0.8687
222.90435,451.2,-4.2687,3e-04
251.0346,450,1.6776,0.1049
478.75615,453,0.0687,0.9459
164.9096,451.5,-0.8391,0.4084
348.0776,458.7,2.63,0.0133
327.0158,448.2,-0.4631,0.6472
349.08265,450.3,2.6228,0.015
275.96015,450,0.4163,0.6809
350.08405,436.2,3.1303,0.0046
820.55905,448.2,1.0802,0.2888
198.97675,450,1.8113,0.0845
249.037,450,0.3172,0.754
348.8148,452.7,-1.8628,0.0732
350.8106,450,-1.895,0.0694
214.0567,452.4,-0.8828,0.3891
396.788,438.3,0.8662,0.3949
206.89255,448.5,-0.415,0.6815
208.9726,450,-10,0
208.89295,462.6,-0.4536,0.654
390.80005,438.6,-0.7232,0.4765
636.65395,464.1,0.4038,0.6895
221.0191,451.5,3.0939,0.0044
758.6046,448.2,3.4846,0.001
392.79365,463.2,-0.6636,0.513
574.7039,448.5,-0.6019,0.5531
578.70095,437.1,-0.7575,0.4562
