	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Dataset_0	mean	maxint	pzq_neg_20180203_1_3	pzq_neg_20180203_1_4	pzq_neg_20180203_1_5	isotopes	adduct	pcgroup
814	720.54233758177	720.537901600365	720.543583688537	28.287982940674	28.287982940674	28.288000106812	3	3	711626.184435131	147547.75	1375318.20905234	309711.337491519	449849.006761537	[152][M+1]+		25
866	776.543027372332	776.538652182689	776.547402561976	27.4075326919555	27.373699188232	27.441366195679	2	2	1081506.78797603	158652.125	631325.831527808	528992.427110768	2084202.10528953			40
767	688.551478868241	688.551044181769	688.551770734407	27.114032745361	26.967283248901	27.22696685791	3	3	476890.912483149	107243.75	468328.08972749	714188.599349702	248156.048372256	[144][M]+		46
907	819.547456227769	819.547300347393	819.550134408819	28.987882614136	28.788999557495	29.021699905396	3	3	927261.919545819	90258.4375	954758.579611685	1025062.90103024	801964.277995532	[162][M]+		43
307	479.298620326159	479.294777592483	479.299912693424	16.221082687378	16.221067428589	16.2334160207113	3	3	350143.300406665	165151.75	746915.80042397	111343.610602365	192170.49019366			34
255	447.131852665368	447.131091427142	447.133214334772	12.5851168467207	12.552450180054	12.699199676514	3	3	301115.549843814	163239	621497.789935219	76347.7474838942	205501.112112328			39
289	466.328384210313	466.327679064894	466.329089355732	18.5684083277387	18.5678335774743	18.568983078003	2	2	317520.189432865	84173.6875	376525.354639325	299290.238056932	276744.975602338	[44][M]+		50
40	255.231518927715	255.229757808391	255.233280047038	18.01584148407	18.015832901001	18.015850067139	2	2	422475.091864985	81309.3125	496680.548101831	348694.881292561	422049.846200562	[1][M]+		2
858	772.467600173569	772.466165822411	772.469034524727	5.5989832878115	5.542516708374	5.655449867249	2	2	359950.822228245	103361.0625	510986.553081913	328981.244016838	239884.669585983	[157][M+1]+		26
84	304.236492381438	304.236409795434	304.2386395364	22.858432769775	22.858417510986	22.858449935913	3	3	340469.762086985	103995	502855.292140821	278413.915118773	240140.079001362	[12][M+1]+		19
147	383.187327366086	383.18443424523	383.190186858077	26.967283248901	26.967283248901	26.967300415039	3	3	481431.5219725	78234.875	483722.59061333	517326.365320489	443245.609983682	[24][M]+		24
1179	1038.67343924429	1038.67180292208	1038.67507556651	18.0157667338057	18.0156834004723	18.015850067139	2	2	328721.07885807	86663.1875	418624.625292096	250856.437106144	316682.17417597	[204][M+2]+		2
564	585.351204437505	585.351120618557	585.354096431585	20.623416900635	20.5894501088463	20.623434066772	3	3	500557.83686326	78423.75	733807.142540894	333416.564241839	434449.803807048	[99][M]+		1
832	743.54513816282	743.54115403149	743.54738191071	28.7451333999635	28.581483840942	28.788999557495	4	3	806695.09226623	74358.875	407813.089283243	637715.868415951	1374556.31909949			4
714	653.267157780994	653.262945594139	653.271358021231	6.078766584396	5.948933124542	6.129499912262	4	3	277930.471209061	98530.75	387909.662827077	272908.343318239	172973.407481866	[131][M]+		49
62	282.251593721226	282.250194538936	282.252992903516	25.0257749557495	25.025766372681	25.025783538818	2	2	312076.01020513	83487.5	318377.312995377	369733.679169454	248117.038450557	[7][M]+		52
462	552.368222886049	552.36756651794	552.368879254157	19.0988502019248	19.0755499827067	19.122150421143	2	2	255491.389243976	101620.4375	418396.653016981	257988.531570918	90088.9831440303	[79][M]+		48
387	510.345859034846	510.345015214998	510.348032795001	20.623416900635	20.5894501088463	20.623434066772	3	3	382847.575745719	85694.125	599951.632694784	215160.218616272	333430.875926101	[60][M+2]+		1
437	540.390063136049	540.385523694716	540.391402758289	18.015832901001	18.0156834004723	18.015850067139	3	3	414363.547774205	67617	438707.343651798	367460.995947465	436922.303723352			2
1320	1106.67183481752	1106.67124145698	1106.67242817806	6.2931666374205	6.276249885559	6.310083389282	2	2	545260.414098591	82961.0625	824433.98909371	320250.20632217	491097.046879892			53
807	717.517420444378	717.51042419874	717.5195994428	26.05299949646	26.052984237671	26.199733734131	3	3	356667.060937728	148136.875	860406.946392934	46939.1823546573	162655.054065591	[150][M]+		41
480	557.456378702886	557.453219777541	557.460330774352	27.00111579895	27.001100540161	27.00111579895	3	3	428732.398391165	90521.5	258207.984381739	673567.016665575	354422.194126179	[83][M]+		24
554	583.334763078479	583.334115979905	583.334889509188	18.6028175354	18.6016508687333	18.602832794189	3	3	307239.198073692	77960.375	411378.54030307	220820.25345716	289518.800460845	[96][M]+		3
531	573.450746780212	573.445898954877	573.454231860361	26.967300415039	26.967283248901	27.001100540161	3	3	696090.690142653	114838.1875	1426111.11883075	575635.598418288	86525.353178918	[93][M]+		24
1322	1106.68033817396	1106.6788438941	1106.68208751906	6.095666885376	5.948933124542	6.242416858673	3	3	561285.999686593	82961.0625	905021.131706364	348730.498412432	430106.368940984			20
