id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F16287	214.1067	918.95	916.01	920.29	6596	2252942	0.8	0.73	5	13	189740	77500	320765	100286	302541	37084	234680	271611	205178	0	148527	56871	70589	0	253069
F16288	214.1067	921.62	920.29	923.49	6596	1374770	0.74	0.94	4	11	0	169175	169245	203487	101327	0	111291	0	74489	58783	232116	56871	69702	187301	0
F16289	214.1067	926.7	923.49	929.65	6596	3111064	0.81	0.89	6	14	115300	65237	404769	235353	398131	253202	326716	580219	115250	0	161307	83155	215991	55762	64698
F16290	214.1067	936.33	934.46	937.94	6596	3155311	0.79	0.85	7	15	227238	213615	242217	218295	312031	203566	105829	357196	76831	108946	56387	193667	353390	375315	162879
F16291	214.1067	945.42	942.48	946.76	6596	2246796	0.8	0.77	6	13	112934	0	144799	0	257554	310731	81816	185443	74211	80161	392798	139141	246065	65997	110088
F16292	214.1067	947.56	946.76	949.97	6596	1368590	0.76	0.78	4	9	80249	0	101852	0	0	273485	182057	50354	0	0	147585	220482	0	190323	132906
F16294	214.1067	960.13	958.79	961.74	6596	1407279	0.8	0.96	3	10	0	178738	0	94166	169413	87533	0	163163	99416	0	146053	0	93198	70386	272308
F16307	211.0252	48.98	47.38	52.19	6495	15697893	1	0.93	2153	14	1622822	1245360	1304535	1191677	997810	969831	742521	952727	1114556	569056	0	1307186	1214597	1253281	1230934
F16308	214.1227	306.05	304.18	308.99	6599	1476825	1	0.96	65	3	461940	490619	543273	0	0	0	0	0	0	0	0	0	0	0	0
F16311	115.095	181.89	178.68	185.1	3006	127982834	1	1	59	15	6938161	8446464	8429945	8303875	9129586	8812672	8890197	27507644	6179363	3860340	8432232	4979440	4377899	7218632	6045313
F16319	214.1273	156.75	154.08	157.02	6600	2875639	0.86	0.88	460	11	113466	286268	358157	312341	264525	163152	0	526880	113263	0	254101	0	346805	0	148681
F16320	214.1273	162.37	159.16	164.78	6600	18079225	0.96	0.9	1494	14	998377	1270910	948828	1158979	1060818	1370448	1845751	1453363	1554419	0	1364522	1391839	1034508	1394364	1336721
F16321	214.1273	209.97	207.83	212.94	6600	13403436	0.93	0.94	1323	14	602642	1152266	964796	869965	767892	881770	1140269	1313736	801260	0	1045467	1061001	752441	1141867	921135
F16322	214.1273	569.77	568.43	570.04	6600	572181	0.85	0.73	171	11	44288	89217	45595	102639	0	39229	45512	43406	0	0	37873	44412	45529	0	41481
F16323	214.1307	51.93	50.59	52.73	6601	950014	0.87	0.92	254	12	31627	0	87124	63373	90683	188878	110629	83011	78072	32433	61858	0	0	83736	47590
F16324	214.1307	56.2	54.33	59.15	6601	9324246	1	0.82	1150	15	753943	434812	896386	607749	618118	232920	846253	1302295	357967	533011	854228	240474	794800	262376	607914
F16327	214.1307	423.22	421.08	425.09	6601	11012905	1	0.86	93	15	1045603	523584	661627	813410	847263	998200	419151	931438	268130	699133	757198	739614	883605	821533	505300
F16328	214.1307	429.37	427.5	432.58	6601	19393558	1	0.94	131	15	1177330	650064	984360	1200289	1322147	1791030	921686	1683610	1029577	1683359	1326627	1347294	1497579	1681341	1158966
F16329	214.1307	467.61	464.4	470.55	6601	25240456	1	0.96	199	15	1273021	1135556	1442924	1627772	2122417	2136446	1487967	2066918	1006288	2098945	1478766	2482186	1773984	1718872	1412394
